"Step","rule_based-run236  n=100 - GDP","rule_based-run236  n=100 - GDP__MIN","rule_based-run236  n=100 - GDP__MAX","independent_ppo-run5  n=100 - GDP","independent_ppo-run5  n=100 - GDP__MIN","independent_ppo-run5  n=100 - GDP__MAX","independent_ppo-run4  n=10 - GDP","independent_ppo-run4  n=10 - GDP__MIN","independent_ppo-run4  n=10 - GDP__MAX","bmfac-run106  n=100 - GDP","bmfac-run106  n=100 - GDP__MIN","bmfac-run106  n=100 - GDP__MAX","maddpg-run36  n=100 - GDP","maddpg-run36  n=100 - GDP__MIN","maddpg-run36  n=100 - GDP__MAX","bmfac-run112  n=10 - GDP","bmfac-run112  n=10 - GDP__MIN","bmfac-run112  n=10 - GDP__MAX","rule_based-run235  n=10 - GDP","rule_based-run235  n=10 - GDP__MIN","rule_based-run235  n=10 - GDP__MAX","maddpg-run35  n=10 - GDP","maddpg-run35  n=10 - GDP__MIN","maddpg-run35  n=10 - GDP__MAX"
"1898","","","","638390.9349367118","638390.9349367118","638390.9349367118","144588.29578243734","144588.29578243734","144588.29578243734","1045818.7570931878","1045818.7570931878","1045818.7570931878","9561913.938799998","9561913.938799998","9561913.938799998","1780842.5910418476","1780842.5910418476","1780842.5910418476","","","","2774260.577805229","2774260.577805229","2774260.577805229"
"1899","","","","582371.2797717559","582371.2797717559","582371.2797717559","247325.65208904436","247325.65208904436","247325.65208904436","991237.1690958763","991237.1690958763","991237.1690958763","8757599.012233578","8757599.012233578","8757599.012233578","1849430.8679392752","1849430.8679392752","1849430.8679392752","","","","6943876.111036456","6943876.111036456","6943876.111036456"
"1900","","","","658993.7180248876","658993.7180248876","658993.7180248876","205037.93067066467","205037.93067066467","205037.93067066467","1058568.9127630782","1058568.9127630782","1058568.9127630782","7975646.425548599","7975646.425548599","7975646.425548599","1771166.807817243","1771166.807817243","1771166.807817243","","","","3584995.5055493102","3584995.5055493102","3584995.5055493102"
"1901","","","","699496.8994101959","699496.8994101959","699496.8994101959","151632.88157043653","151632.88157043653","151632.88157043653","1057748.9651161372","1057748.9651161372","1057748.9651161372","7822823.860072287","7822823.860072287","7822823.860072287","1785464.591137411","1785464.591137411","1785464.591137411","","","","3284970.9943410717","3284970.9943410717","3284970.9943410717"
"1902","","","","726128.3737254505","726128.3737254505","726128.3737254505","226790.0058417313","226790.0058417313","226790.0058417313","1065874.1972602948","1065874.1972602948","1065874.1972602948","9058687.562962709","9058687.562962709","9058687.562962709","1832275.3727953017","1832275.3727953017","1832275.3727953017","","","","5555533.295002068","5555533.295002068","5555533.295002068"
"1903","","","","607658.6375550781","607658.6375550781","607658.6375550781","276726.20675267454","276726.20675267454","276726.20675267454","1029311.0459993404","1029311.0459993404","1029311.0459993404","9386363.349664321","9386363.349664321","9386363.349664321","1831640.6897695619","1831640.6897695619","1831640.6897695619","","","","3442406.432887523","3442406.432887523","3442406.432887523"
"1904","","","","718071.2004567353","718071.2004567353","718071.2004567353","242330.57664783005","242330.57664783005","242330.57664783005","1022735.6776027","1022735.6776027","1022735.6776027","8350360.800548757","8350360.800548757","8350360.800548757","1753566.567776713","1753566.567776713","1753566.567776713","","","","4269118.159180479","4269118.159180479","4269118.159180479"
"1905","","","","661636.7934309008","661636.7934309008","661636.7934309008","241363.0483306017","241363.0483306017","241363.0483306017","1044954.1338507484","1044954.1338507484","1044954.1338507484","8362721.417292003","8362721.417292003","8362721.417292003","1871882.5154615543","1871882.5154615543","1871882.5154615543","","","","5202615.550403975","5202615.550403975","5202615.550403975"
"1906","","","","672537.0189702378","672537.0189702378","672537.0189702378","252167.679251329","252167.679251329","252167.679251329","1047570.5692629598","1047570.5692629598","1047570.5692629598","10368620.308120193","10368620.308120193","10368620.308120193","1770635.711694422","1770635.711694422","1770635.711694422","","","","5106567.175322806","5106567.175322806","5106567.175322806"
"1907","","","","616064.8969939009","616064.8969939009","616064.8969939009","165805.89117274783","165805.89117274783","165805.89117274783","1042628.9471271882","1042628.9471271882","1042628.9471271882","10358383.498320136","10358383.498320136","10358383.498320136","1885340.788807527","1885340.788807527","1885340.788807527","","","","5664360.960403522","5664360.960403522","5664360.960403522"
